id,keyword,location,text,target,urgency,processed_text,keyword_feature,location_feature
16,ablaze,,No cows today but our local factory is sadly still ablaze #REDJanuary2020 https://t.co/CMyuKzrcKz,1,low,no cows today but our local factory is sadly still ablaze  redjanuary     https   t co cmyukzrckz,LOW_ablaze,no_location
17,ablaze,,Rengoku sets my heart ablaze😔❤️🔥 P.s. I missed this style of coloring I do so here it is c: #鬼滅の刃 https://t.co/YrUF9g68s0,0,low,rengoku sets my heart ablaze     p s  i missed this style of coloring i do so here it is c        https   t co yruf g  s,LOW_ablaze,no_location
18,ablaze,Worldwide,paulzizkaphoto: “Rundle Ablaze” Wishing you all a good evening... https://t.co/d0NlME1HQz https://t.co/hlVlT6qiIp,0,low,paulzizkaphoto   rundle ablaze  wishing you all a good evening    https   t co d nlme hqz https   t co hlvlt qiip,LOW_ablaze,normal_location
19,ablaze,,French cameroun set houses ablaze in Ndu and roasted two young boys in their homes in #targeted killings in a #GenocideInSou…,1,low,french cameroun set houses ablaze in ndu and roasted two young boys in their homes in  targeted killings in a  genocideinsou,LOW_ablaze,no_location
20,ablaze,,Cameroon's #BIR soldiers on the 05/01/2020 invaded the #SouthernCameroons Village of Kimar - So setting ablaze a total of…,1,low,cameroon s  bir soldiers on the            invaded the  southerncameroons village of kimar   so setting ablaze a total of,LOW_ablaze,no_location
21,ablaze,,As fires ablaze throughout the land/as the prophosized apocalypse comes to fruition/not a building standing/as we all come st…,1,medium,as fires ablaze throughout the land as the prophosized apocalypse comes to fruition not a building standing as we all come st,LOW_ablaze,no_location
22,ablaze,Italy,"#ThankfulTuesday Isaiah 43:2 When you pass through the waters, I will be with you; and when you pass through the r… https://t.co/jEp3L1oU36",0,low,thankfultuesday isaiah      when you pass through the waters  i will be with you  and when you pass through the r  https   t co jep l ou,LOW_ablaze,normal_location
23,ablaze,"` ˗ˏˋ i'm⠀waiting⠀for⠀you⠀to⠀pour⠀my⠀𝘀𝗶𝗻𝘀⠀onto⠀me⠀;⠀call⠀me⠀your⠀𝘭𝘰𝘷𝘦𝘳⠀whispering⠀hymns⠀to⠀my⠀ear⠀,⠀crucify⠀me⠀in⠀claims⠀of⠀praising⠀me .","⠀⠀When you walk through the fire, ⠀⠀you will not be scorched, and the ⠀⠀flames will not set you ablaze. ──── product…",0,low,when you walk through the fire    you will not be scorched  and the   flames will not set you ablaze       product,LOW_ablaze,normal_location
24,ablaze,Okielahoma,Originally they were intended to be fired at boarders or the opposing ship's crew from gunners in the ships's riggi… https://t.co/z5vPwuyBCL,1,medium,originally they were intended to be fired at boarders or the opposing ship s crew from gunners in the ships s riggi  https   t co z vpwuybcl,LOW_ablaze,normal_location
25,ablaze,,Warm greetings to all on the occasion of #Lohri. As winter passes by may everyone's woes and troubles be set ablaze in t…,0,low,warm greetings to all on the occasion of  lohri  as winter passes by may everyone s woes and troubles be set ablaze in t,LOW_ablaze,no_location
26,ablaze,,"Another arson in Njikom,Boyo,NWR. The ambazombies yesterday 13/1/2020 set ablaze the Council building. Which country in the wo…",1,low,another arson in njikom boyo nwr  the ambazombies yesterday           set ablaze the council building  which country in the wo,LOW_ablaze,no_location
27,ablaze,Havana 3am,"Another public market in #Haiti mysteriously set ablaze. The independent merchants, who are overwhelmingly women, become…",1,low,another public market in  haiti mysteriously set ablaze  the independent merchants  who are overwhelmingly women  become,LOW_ablaze,normal_location
28,ablaze,,that is kind true sadly,0,low,that is kind true sadly,LOW_ablaze,no_location
29,ablaze,,I swear that jam will set the world ablaze,0,low,i swear that jam will set the world ablaze,LOW_ablaze,no_location
30,ablaze,,"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze. #I…",1,low,marivan  kurdistan province monday  jan   th       protesters set the propaganda banner of  qassemsoleimani ablaze   i,LOW_ablaze,no_location
31,ablaze,"Washington, DC","Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze… https://t.co/IVGCYJZlmK",1,low,marivan  kurdistan province monday  jan   th       protesters set the propaganda banner of  qassemsoleimani ablaze  https   t co ivgcyjzlmk,LOW_ablaze,normal_location
32,ablaze,India,How can you turn a blind eye to the icident of setting ablaze more than 50 houses of H… https://t.co/UD84oQxg9K,1,low,how can you turn a blind eye to the icident of setting ablaze more than    houses of h  https   t co ud  oqxg k,LOW_ablaze,high_risk_location
33,ablaze,"Salta, Argentina","This love is so completely crazy. You've been fucking with my dreams, ripped me like your torn up jeans. I don't ev… https://t.co/GCVYW5eZkb",0,low,this love is so completely crazy  you ve been fucking with my dreams  ripped me like your torn up jeans  i don t ev  https   t co gcvyw ezkb,LOW_ablaze,normal_location
34,accident,Wherever socks go in the dryer,Terms in A Demon Burning Dark: The Ruined: People who cannot use magic or interact with it without some harm or ac… https://t.co/ZEDawOfuu4,0,low,terms in a demon burning dark  the ruined  people who cannot use magic or interact with it without some harm or ac  https   t co zedawofuu,MED_accident,normal_location
35,accident,Kuala Lumpur,"📷 Heartfelt appreciation to Prime Minister YAB Tun Dr. wife, YABhg. Tun Dr. Siti Hasmah Mohd Ali fo… https://t.co/YOwUp1BYUP",0,low,heartfelt appreciation to prime minister yab tun dr  wife  yabhg  tun dr  siti hasmah mohd ali fo  https   t co yowup byup,MED_accident,normal_location
36,accident,,"#WATCH Former CM Akhilesh Yadav who went to meet injured of Kannauj accident, at a hospital in Chhibramau asks Emergency Med…",1,high,watch former cm akhilesh yadav who went to meet injured of kannauj accident  at a hospital in chhibramau asks emergency med,MED_accident,no_location
37,accident,"Sydney, New South Wales",❤️❤️❤️ he gave us everything... He had a horrible foot infection once so wore one thong… https://t.co/mA9sFl6Shw,0,low,he gave us everything    he had a horrible foot infection once so wore one thong  https   t co ma sfl shw,MED_accident,normal_location
38,accident,Nigeria,"😁yeah! His new swag is on point 100%, since the accident! Like this is a totally transformed Bob…",0,low,yeah  his new swag is on point       since the accident  like this is a totally transformed bob,MED_accident,normal_location
39,accident,"Davanagere, India ","This is cool and all these days I have been doing ""git push origin CURRENT_BRANCH_NAME"". You know that… https://t.co/mr0YAGEWqj",0,low,this is cool and all these days i have been doing  git push origin current_branch_name   you know that  https   t co mr yagewqj,MED_accident,high_risk_location
40,accident,"Lyndhurst, OH",#Preorder #newrelease today! 12 witnesses connected to or investigating #THENUTCRACKERCONSPIRACY have died either in a…,1,low,preorder  newrelease today     witnesses connected to or investigating  thenutcrackerconspiracy have died either in a,MED_accident,normal_location
41,accident,"Covina, Ca",my back and neck are still fucked up from the accident 😡😡😭😭,0,low,my back and neck are still fucked up from the accident,MED_accident,normal_location
42,accident,"Colorado, Brighton",RT! Prince Harry just confirmed that his mother’s (Princess Diana) death was not an accident! https://t.co/1ADe3uZ3eR,1,low,rt  prince harry just confirmed that his mother s  princess diana  death was not an accident  https   t co  ade uz er,MED_accident,normal_location
43,accident,,Note to Democrats: It’s not a Muslim ban. Islam is not a race. Soleimani was a terrorist &amp; was exterminated not assas…,0,low,note to democrats  it s not a muslim ban  islam is not a race  soleimani was a terrorist  amp  was exterminated not assas,MED_accident,no_location
44,accident,"North Carolina, USA",Juwan Johnson/Oregon is one big dude. Looks like a tight end stuck in the receiver group by accident.,0,low,juwan johnson oregon is one big dude  looks like a tight end stuck in the receiver group by accident,MED_accident,normal_location
45,accident,kurger bing,More appearances of the man with the upside-down face. A New Year’s Eve party at an Air Force base in 1943 where a man…,0,low,more appearances of the man with the upside down face  a new year s eve party at an air force base in      where a man,MED_accident,normal_location
46,accident,"Faridabad, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Kavu in Thum…",1,low,the speeding car rammed into a group of people  who were returning after attending a temple festival of ayyappan kavu in thum,MED_accident,high_risk_location
47,accident,60,My friend (an army) just lost her father in an accident and her mom right now is still unconscious. Please pray for her mo…,1,medium,my friend  an army  just lost her father in an accident and her mom right now is still unconscious  please pray for her mo,MED_accident,normal_location
48,accident,ngovhela Mahunguni,MLINDO THE VOCALIST IN ANOTHER CAR ACCIDENT https://t.co/BXR9rEgAk6,1,low,mlindo the vocalist in another car accident https   t co bxr regak,MED_accident,normal_location
49,accident,,"“There are no greater treasures than the highest human qualities such as compassion, courage and hope. Not even tragic accide…",0,low,there are no greater treasures than the highest human qualities such as compassion  courage and hope  not even tragic accide,MED_accident,no_location
50,accident,Germany,Please help our friends in - they have had a non fault accident that's resulted in their vehicle being writte…,0,low,please help our friends in   they have had a non fault accident that s resulted in their vehicle being writte,MED_accident,normal_location
51,accident,"South Beach, FL",When you hurt your younger sibling by “accident” https://t.co/DAMTEoQtZU,0,low,when you hurt your younger sibling by  accident  https   t co damteoqtzu,MED_accident,normal_location
52,accident,"London, United Kingdom",David Cameron’s decision to hold a referendum expressed in the medium of a road traffic accident. https://t.co/XATYHFtXoa,1,low,david cameron s decision to hold a referendum expressed in the medium of a road traffic accident  https   t co xatyhftxoa,MED_accident,normal_location
53,accident,"Phoenix, AZ 85017",An auto accident injury can set a process in motion that can get complicated. Find out how long it takes to settle… https://t.co/GQp5tv03dF,1,low,an auto accident injury can set a process in motion that can get complicated  find out how long it takes to settle  https   t co gqp tv  df,MED_accident,normal_location
54,accident,"England, UK ",no one has the right to call a baby an accident. jd himself called it a blessing. he used the loveliest word to describe what…,0,low,no one has the right to call a baby an accident  jd himself called it a blessing  he used the loveliest word to describe what,MED_accident,normal_location
55,accident,"Melbourne, Australia",I actually posted this by accident to twitter but have decided this can stay,0,low,i actually posted this by accident to twitter but have decided this can stay,MED_accident,normal_location
56,accident,"Pearland, TX",Question: let’s say you are happily married and your husband dies in a tragic accident. You are deveststed but this pussy not…,0,low,question  let s say you are happily married and your husband dies in a tragic accident  you are deveststed but this pussy not,MED_accident,normal_location
57,accident,Africa,The Kampala Metropolitan East has in custody two suspects who allegedly strangled to death a passenger… https://t.co/9v77Vm51vw,1,low,the kampala metropolitan east has in custody two suspects who allegedly strangled to death a passenger  https   t co  v  vm  vw,MED_accident,normal_location
58,accident,"California, USA","In completely available public information , the fires were mostly started by humans on purpose or on accident with th…",0,low,in completely available public information   the fires were mostly started by humans on purpose or on accident with th,MED_accident,high_risk_location
59,accident,,During my PhD there was a colleague who went out of her way to bully and cause work discomfort for me. I… https://t.co/G3hivXZo8T,0,low,during my phd there was a colleague who went out of her way to bully and cause work discomfort for me  i  https   t co g hivxzo t,MED_accident,no_location
60,accident,"Kerala, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Ka… https://t.co/e3bBlaVDDA",1,low,the speeding car rammed into a group of people  who were returning after attending a temple festival of ayyappan ka  https   t co e bblavdda,MED_accident,high_risk_location
61,accident,"Staffordshire,England","6yr old Bella needs a new home due to an incident that was an accident, she can live with older kids and in the right ho…",0,low,yr old bella needs a new home due to an incident that was an accident  she can live with older kids and in the right ho,MED_accident,normal_location
62,accident,,"👀Look at this shit,😠she need her little ass whooped before she hit somebody by accident. #lecheminduroi #bransoncognac #starzge…",0,low,look at this shit  she need her little ass whooped before she hit somebody by accident   lecheminduroi  bransoncognac  starzge,MED_accident,no_location
63,accident,"Port Harcourt, Nigeria",You're not an accident on the earth. You're God's divinely crafted masterpiece. He designed you with a destiny in v… https://t.co/KfC7Tpwuj6,0,low,you re not an accident on the earth  you re god s divinely crafted masterpiece  he designed you with a destiny in v  https   t co kfc tpwuj,MED_accident,normal_location
64,accident,,Iran Says That They Shot Down Ukraine International Flight 172 By Accident. Here is an Picture of that Aircraft in… https://t.co/COdnYq77uZ,1,low,iran says that they shot down ukraine international flight     by accident  here is an picture of that aircraft in  https   t co codnyq  uz,MED_accident,no_location
65,accident,Everywhere,Saw this truck with the container almost falling off this morning. Reported…,1,low,saw this truck with the container almost falling off this morning  reported,MED_accident,normal_location
66,accident,"Ann Arbor, MI",Judge less smile more. It isn’t the oldest profession by accident lol,0,low,judge less smile more  it isn t the oldest profession by accident lol,MED_accident,normal_location
67,aftershock,Global,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/SF2wBVd5me,1,low,puerto rico hit by another     magnitude aftershock   kyma https   t co sf wbvd me,LOW_aftershock,normal_location
68,aftershock,"Puerto Rico, USA",3.6 aftershock at 4:05 am. I was asleep and the movement of my bed woke me up. Not so scary but I wish they weren't… https://t.co/LA2mwCLXhf,1,low,aftershock at      am  i was asleep and the movement of my bed woke me up  not so scary but i wish they weren t  https   t co la mwclxhf,LOW_aftershock,normal_location
69,aftershock,In the mind of haters.,"Good Night my friends, As per USGS, the new 5.9 quake in this morning caused the 7-day aftershock forecast to change.…",1,low,good night my friends  as per usgs  the new     quake in this morning caused the   day aftershock forecast to change,LOW_aftershock,normal_location
70,aftershock,Czech Republic,Yea it wasnt that long she killed me in like 6 or 7 seconds but not sure would have to… https://t.co/pexyxYJoFM,0,low,yea it wasnt that long she killed me in like   or   seconds but not sure would have to  https   t co pexyxyjofm,LOW_aftershock,normal_location
71,aftershock,USA,Honored to have an essay in #AfterShock Marking the 50th anniversary of Alvin Toffler’s Future Shock Compendium of essays in t…,0,low,honored to have an essay in  aftershock marking the   th anniversary of alvin toffler s future shock compendium of essays in t,LOW_aftershock,normal_location
72,aftershock,,TICKETS ON SALE!!!!!!!!!! - Aftershock https://t.co/kQHMzbgmvk #nowplaying #k4hdradio,0,low,tickets on sale             aftershock https   t co kqhmzbgmvk  nowplaying  k hdradio,LOW_aftershock,no_location
73,aftershock,"Bay Area, CA",Come with us to Aftershock!,0,low,come with us to aftershock,LOW_aftershock,normal_location
74,aftershock,"Great Southwest, U.S.A.",o_O ! I think I felt your aftershock,0,low,o_o   i think i felt your aftershock,LOW_aftershock,normal_location
75,aftershock,"Katowice, Poland",A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…,1,medium,a quick comparison of the ongoing      m    puerto rico earthquake sequence and the      m    central california sequenc,LOW_aftershock,normal_location
76,aftershock,,"Why are Puerto Ricans refusing to go home? Aside from the 5.4 aftershock just now, the ground in southwest Puerto Rico has…",1,medium,why are puerto ricans refusing to go home  aside from the     aftershock just now  the ground in southwest puerto rico has,LOW_aftershock,no_location
77,aftershock,Toronto,2010 - Inception. The Social Network. Easy A. Black Swan. Toy Story 3. The Kids are All Right. Aftershock.,0,low,inception  the social network  easy a  black swan  toy story    the kids are all right  aftershock,LOW_aftershock,normal_location
78,aftershock,Texas,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/rrTNTMA8NR,1,low,puerto rico hit by another     magnitude aftershock   kyma https   t co rrtntma nr,LOW_aftershock,high_risk_location
79,aftershock,são paulo -sp,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/wW3CdsvDV2,1,low,puerto rico hit by another     magnitude aftershock   kyma https   t co ww cdsvdv,LOW_aftershock,normal_location
80,aftershock,"  Philippines ,From America",A other Hard hit https://t.co/x3e2mf6DKo,0,low,a other hard hit https   t co x e mf dko,LOW_aftershock,high_risk_location
81,aftershock,Islamabad,"Musharaf verdict was just mild aftershock of extension, one should not worry what comes after extention.",0,low,musharaf verdict was just mild aftershock of extension  one should not worry what comes after extention,LOW_aftershock,normal_location
82,aftershock,"Flatbush, Brooklyn",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/vRAdkSZaLn,1,low,puerto rico hit by another     magnitude aftershock   kyma https   t co vradkszaln,LOW_aftershock,normal_location
83,aftershock,"Surabaya, Indonesia",Kumera yellow Aftershock #PH19FOSSIL featured in bankbtn Good Living magazine Photography Stylist shino… https://t.co/V9LJ65ttzR,0,low,kumera yellow aftershock  ph  fossil featured in bankbtn good living magazine photography stylist shino  https   t co v lj  ttzr,LOW_aftershock,high_risk_location
84,aftershock,,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/MMxXzwBpaF,1,low,puerto rico hit by another     magnitude aftershock   kyma https   t co mmxxzwbpaf,LOW_aftershock,no_location
85,aftershock,NYC,Please pray for #PuertoRico!!!!! https://t.co/uWqP2yNohW,0,low,please pray for  puertorico      https   t co uwqp ynohw,LOW_aftershock,normal_location
86,aftershock,ethers,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/lRTLlbB9TV,1,low,puerto rico hit by another     magnitude aftershock   kyma https   t co lrtllbb tv,LOW_aftershock,normal_location
87,aftershock,"Ковров, Россия",И снова о кризисе демографии (Yakov_Z) https://t.co/BlgYuNumDG,0,low,yakov_z  https   t co blgyunumdg,LOW_aftershock,normal_location
88,aftershock,"Planet Eyal, Shandral System",Darkake(7 yeek possessor) was killed by possession aftershock on Ritches Tunnels 2. https://t.co/AZoiZicsDe,1,low,darkake   yeek possessor  was killed by possession aftershock on ritches tunnels    https   t co azoizicsde,LOW_aftershock,normal_location
89,aftershock,,Check out my latest video... SUPERZERO VOL. 1 - CLOSER LOOK https://t.co/T36KGXJdvY A closer look at SUPERZERO VOL. 1 by Am…,0,low,check out my latest video    superzero vol      closer look https   t co t  kgxjdvy a closer look at superzero vol    by am,LOW_aftershock,no_location
90,aftershock,,Might be a small aftershock. I didn't feel anything,0,low,might be a small aftershock  i didn t feel anything,LOW_aftershock,no_location
91,aftershock,"Brooklyn, NY","Stay informed, stay engaged with whats going on in #PuertoRico after the #earthquake The USGS’ 30-Day aftershock s… https://t.co/bYIBfpLHYg",0,low,stay informed  stay engaged with whats going on in  puertorico after the  earthquake the usgs     day aftershock s  https   t co byibfplhyg,LOW_aftershock,normal_location
92,aftershock,,This isnt good. I feel for the people of Puerto Rico https://t.co/gZC7TYroxS,0,low,this isnt good  i feel for the people of puerto rico https   t co gzc tyroxs,LOW_aftershock,no_location
93,aftershock,"Melbourne, Victoria","Aftershock Vapor 15 Pro Review – Aussie, Aussie, Aussie https://t.co/pWNq3VAr2r #PowerUpAU",0,low,aftershock vapor    pro review   aussie  aussie  aussie https   t co pwnq var r  powerupau,LOW_aftershock,normal_location
94,aftershock,,Puerto Rico Worker explains Earthquake aftershock. Pleading to go viral https://t.co/hhfjQNLEt8 via,0,low,puerto rico worker explains earthquake aftershock  pleading to go viral https   t co hhfjqnlet  via,LOW_aftershock,no_location
95,aftershock,Piscataway land // DC,this is an unfathomable number. I lived through a large earthquake and we slept under the table for one terrible night…,0,low,this is an unfathomable number  i lived through a large earthquake and we slept under the table for one terrible night,LOW_aftershock,normal_location
96,aftershock,DEPRESSED VIBES,nah I need calm down 💀 https://t.co/eOKphShN5R,0,low,nah i need calm down   https   t co eokphshn r,LOW_aftershock,normal_location
97,aftershock,,thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0,low,thinking about how some  spat blood at me during marilyn manson s set at aftershock,LOW_aftershock,no_location
98,aftershock,,"If two quakes have about the same magnitude, you cannot say one is the other's preshock or aftershock. Only when one is obv…",0,low,if two quakes have about the same magnitude  you cannot say one is the other s preshock or aftershock  only when one is obv,LOW_aftershock,no_location
99,aftershock,,"An M4+~M5+ aftershock happens within 15 days after an M5+~M6+ main shock. If you can predict it, then you can say it is an…",1,low,an m   m   aftershock happens within    days after an m   m   main shock  if you can predict it  then you can say it is an,LOW_aftershock,no_location
100,aftershock,,I don't think Silivri M4.8 is an aftershock of the Silivri M5.7 a few months ago. 😀 Quake professors always say such nonsen…,0,low,i don t think silivri m    is an aftershock of the silivri m    a few months ago    quake professors always say such nonsen,LOW_aftershock,no_location
101,aftershock,"Bum Fuck, California",I think it’s an aftershock from ’s lyrical beat down. Brent never recovered.,0,low,i think it s an aftershock from  s lyrical beat down  brent never recovered,LOW_aftershock,high_risk_location
102,aftershock,,Apex is all about separating from Monarch. They’re “separation. Well from my theory on how MechaGod… https://t.co/aBzDKqocPv,0,low,apex is all about separating from monarch  they re  separation  well from my theory on how mechagod  https   t co abzdkqocpv,LOW_aftershock,no_location
103,aftershock,"fresno, ca",thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0,low,thinking about how some  spat blood at me during marilyn manson s set at aftershock,LOW_aftershock,normal_location
104,aftershock,,Or sending my mate Simon to the bar and asking for a Guiness but ending up with a Carlsberg Export and a Mint After…,0,low,or sending my mate simon to the bar and asking for a guiness but ending up with a carlsberg export and a mint after,LOW_aftershock,no_location
105,aftershock,,#USGS #earthquake experts are in #PuertoRico installing temporary seismometers to help track seismic events including a Jan. 7 ma…,0,low,usgs  earthquake experts are in  puertorico installing temporary seismometers to help track seismic events including a jan    ma,LOW_aftershock,no_location
106,aftershock,"Wilmington, NC- USA",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/P9Th3vpTak,1,low,puerto rico hit by another     magnitude aftershock   kyma https   t co p th vptak,LOW_aftershock,normal_location
107,aftershock,"Dream big ,NYC , FL\LA✈️✨💼😎","Over the weekend, Puerto Rico was struck by a 5.9 aftershock, causing more damage to homes and schools and leaving thou…",1,medium,over the weekend  puerto rico was struck by a     aftershock  causing more damage to homes and schools and leaving thou,LOW_aftershock,normal_location
108,aftershock,DEPRESSED VIBES,How could you leave when I gave you my all 💔,0,low,how could you leave when i gave you my all,LOW_aftershock,normal_location
109,aftershock,,"For the full experience, start with this one, 1st in the series. Food was running low. To save the young, the governor…",0,low,for the full experience  start with this one   st in the series  food was running low  to save the young  the governor,LOW_aftershock,no_location
110,aftershock,NYC,The magnitude 5.9 quake in #PuertoRico this morning caused our 7-day aftershock forecast to change. We now estimate an increased…,1,medium,the magnitude     quake in  puertorico this morning caused our   day aftershock forecast to change  we now estimate an increased,LOW_aftershock,normal_location
111,aftershock,10.28.33N  / 066.57.79W,We continue to update our 30-day aftershock forecast scenarios for #PuertoRico. Forecasts are posted in both English https://t.co…,0,low,we continue to update our    day aftershock forecast scenarios for  puertorico  forecasts are posted in both english https   t co,LOW_aftershock,normal_location
112,aftershock,"Texas, USA",Another 6.0 aftershock has hit Puerto Rico after last night. People cannot go home if they even have one. They have no po…,1,low,another     aftershock has hit puerto rico after last night  people cannot go home if they even have one  they have no po,LOW_aftershock,high_risk_location
113,aftershock,"St Augustine, FL",Aftershock comics. We prefer working in partnership with our creators to build out that team from the ground up.,0,low,aftershock comics  we prefer working in partnership with our creators to build out that team from the ground up,LOW_aftershock,normal_location
114,aftershock,RVA✈️FLA,Did the other earthquake/aftershock mess up the power again?!,0,low,did the other earthquake aftershock mess up the power again,LOW_aftershock,normal_location
115,aftershock,PA,Aftershock forecast for Puerto Rico,0,low,aftershock forecast for puerto rico,LOW_aftershock,normal_location
116,airplane%20accident,"California, USA",Like Iran shooting an airplane was an accident,1,low,like iran shooting an airplane was an accident,MED_airplane_accident,high_risk_location
117,airplane%20accident,,Bing Bong Airplane Accident Remix,0,low,bing bong airplane accident remix,MED_airplane_accident,no_location
118,airplane%20accident,Inside my head,Morgan is surprised to see Shaun back at work already and offers her condolences on his dad. Shaun says the airplan… https://t.co/SXwRBa7hj5,0,low,morgan is surprised to see shaun back at work already and offers her condolences on his dad  shaun says the airplan  https   t co sxwrba hj,MED_airplane_accident,normal_location
119,airplane%20accident,Australia,"That’s a load of rubbish, there was never an imminent threat, Jesus Christ!!!Iran sho… https://t.co/C815DfZF7C",0,low,that s a load of rubbish  there was never an imminent threat  jesus christ   iran sho  https   t co c   dfzf c,MED_airplane_accident,normal_location
120,airplane%20accident,"Greenwich, CT","Actually, blocking the internet was just an accident. You know, just like when Iran shot down the Ukrainian airplane.",1,medium,actually  blocking the internet was just an accident  you know  just like when iran shot down the ukrainian airplane,MED_airplane_accident,normal_location
121,airplane%20accident,"Michigan, USA",Conclusion 8 on previous page is incorrect IMHO. “The witness observations of a streak of light we… https://t.co/tz4Xv7uXCw,0,low,conclusion   on previous page is incorrect imho   the witness observations of a streak of light we  https   t co tz xv uxcw,MED_airplane_accident,normal_location
122,airplane%20accident,Iran,"The celebrities in Iran that are very sadly about our compatriots that killed with downing UK airplane,not only di… https://t.co/CtjVwIcH2v",0,low,the celebrities in iran that are very sadly about our compatriots that killed with downing uk airplane not only di  https   t co ctjvwich v,MED_airplane_accident,normal_location
